,currency,impact,name,date,time
1458,USD,High Impact Expected,PPI m/m,2007-05-11,14:30:00
1459,USD,High Impact Expected,Retail Sales m/m,2007-05-11,14:30:00
1464,NZD,High Impact Expected,Core Retail Sales m/m,2007-05-14,00:45:00
1465,NZD,High Impact Expected,Retail Sales m/m,2007-05-14,00:45:00
1473,GBP,High Impact Expected,PPI Input m/m,2007-05-14,10:30:00
1482,EUR,High Impact Expected,German Prelim GDP q/q,2007-05-15,08:00:00
1487,GBP,High Impact Expected,CPI y/y,2007-05-15,10:30:00
1494,USD,High Impact Expected,CPI y/y,2007-05-15,14:30:00
1495,USD,High Impact Expected,Core CPI m/m,2007-05-15,14:30:00
1498,USD,High Impact Expected,TIC Long-Term Purchases,2007-05-15,15:00:00
1503,NZD,High Impact Expected,PPI Input q/q,2007-05-16,00:45:00
1507,CNY,High Impact Expected,Industrial Production y/y,2007-05-16,04:00:00
1513,GBP,High Impact Expected,Average Earnings Index 3m/y,2007-05-16,10:30:00
1518,GBP,High Impact Expected,BOE Gov King Speaks,2007-05-16,11:30:00
1519,GBP,High Impact Expected,BOE Monetary Policy Report,2007-05-16,11:30:00
1528,JPY,High Impact Expected,Prelim GDP q/q,2007-05-17,01:50:00
1533,NZD,High Impact Expected,Annual Budget Release,2007-05-17,04:00:00
1535,CHF,Non-Economic,Bank Holiday,2007-05-17,23:59:59
1539,JPY,High Impact Expected,BOJ Press Conference,2007-05-17,09:30:00
1541,CAD,High Impact Expected,Core CPI m/m,2007-05-17,13:00:00
1545,USD,High Impact Expected,Fed Chairman Bernanke Speaks,2007-05-17,15:30:00
1553,GBP,High Impact Expected,Retail Sales m/m,2007-05-18,10:30:00
1555,CAD,High Impact Expected,Core Retail Sales m/m,2007-05-18,14:30:00
1557,USD,High Impact Expected,Prelim UoM Consumer Sentiment,2007-05-18,16:00:00
1566,CAD,Non-Economic,Bank Holiday,2007-05-21,23:59:59
1568,CNY,Non-Economic,Bank Holiday,2007-05-22,23:59:59
